ID,Quality attribute,Requirement,Source,Priority,Acceptance criteria,Verification method
NFR-001,Performance - list response,The 95th percentile server response time for a filtered request list of up to 500 records shall not exceed 2.0 seconds with 10 concurrent users on a warm instance.,"SH-02, SH-04",Must,A load test of 10 concurrent users over 5 minutes against a 500-record data set reports a 95th percentile response time of 2.0 seconds or less. Cold-start latency is measured and reported separately (see NFR-002).,"Load test, M3"
NFR-002,Availability,The staging deployment shall be available at least 95% of the time between 07:00 and 18:00 SAST on weekdays across the M3 evaluation period. Cold-start latency of up to 30 seconds after idle is a declared and accepted limitation of the free-tier hosting constraint.,"SH-01, SH-06",Should,"An uptime log across the evaluation period shows availability of 95% or more within the stated window, and the observed cold-start latency is recorded as a known limitation in the PED.","Uptime monitoring log, M3"
NFR-003,Credential storage,"Passwords shall be stored only as a salted adaptive hash (bcrypt with cost factor 10 or greater, or Argon2id). No password shall be stored in plaintext or in any reversible form.","SH-09, CN-05",Must,"Inspection of the stored user records shows no plaintext or reversible password value, and code review confirms the hashing algorithm and cost factor.","Database inspection + code review, M3"
NFR-004,Authorisation enforcement,100% of role-restricted operations shall reject a request from an unauthorised role with an authorisation error and without any state change.,"SH-09, CN-05",Must,An automated test matrix covering every role against every restricted operation reports zero unauthorised successes.,"Automated role x operation matrix test, M3"
NFR-005,Secrets handling,"No password, API key, token, connection string or private key shall be present in the repository or in its commit history.","CN-05, SH-08",Must,An automated secret scan on every pull request and a full-history scan both report zero findings.,"Automated secret scan, from M1"
NFR-006,Auditability,"100% of status and assignment changes shall be recorded with actor, UTC timestamp, previous value and new value, and shall not be modifiable through the application.","SH-04, SH-09",Must,"For a scripted sequence of k changes, the audit record contains exactly k entries with all four fields populated, and no application endpoint accepts an update or delete against an audit entry.","Functional test + negative test, M3"
NFR-007,Usability of submission,An untrained Requester shall complete a valid submission within 3 minutes and no more than 3 screens.,SH-01,Should,"In a moderated test with 5 representative participants, at least 4 complete a valid submission unaided within 3 minutes.","Moderated usability test, M3"
NFR-008,Accessibility,"Body text shall meet a contrast ratio of at least 4.5:1, every form input shall carry a programmatic label, and the submission flow shall be fully keyboard operable (WCAG 2.1 AA subset).",SH-01,Should,"An automated accessibility check reports zero contrast or missing-label violations on the submission and request-detail screens, and the submission flow is completed using keyboard input only.","Automated accessibility scan + manual keyboard walkthrough, M3"
NFR-009,Maintainability,"Automated unit tests shall cover at least 70% of lines in the business/service layer, and static analysis shall report zero critical findings on the main branch.","SH-07, CN-04",Should,The pipeline coverage report shows 70% or more line coverage for the business/service layer and the static-analysis stage reports zero critical findings.,"CI report, M3"
NFR-010,Cost,"Recurring monetary cost shall be R0.00 for the duration of the academic project, and the projected operational cost at 100 active users and 1 000 requests per month shall be documented.","SH-06, CN-03",Must,"A platform cost review lists every service in use, its free-tier limit, current consumption against that limit, and a costed projection at the stated volume.","Cost review, M2 and M4"
NFR-011,Recoverability,"A backup of the request data shall be taken at least daily, a documented restore procedure shall exist, and a restore shall be verified at least once before M4. Recovery point objective 24 hours; recovery time objective 4 hours.","SH-04, SH-06",Should,"A backup schedule is evidenced, and a restore into a clean environment is performed and timed, producing a data set matching the source at the backup point within the stated RTO.","Documented restore rehearsal, M3/M4"
NFR-012,Privacy of requester information,"Requester contact details shall be visible only to the assigned Staff user, the Manager and the Administrator roles.","SH-09, CN-05",Must,"Negative-access tests confirm that a Requester and an unassigned Staff user cannot retrieve another requester's contact details through any interface, including direct record access.","Automated negative-access test, M3"
NFR-013,Capacity,The system shall hold at least 500 user accounts and 5 000 request records within the selected free-tier storage limits without breaching NFR-001.,"SH-06, CN-03",Should,"With 500 users and 5 000 requests seeded, storage consumption remains inside the documented free-tier limit and the NFR-001 load test still passes.","Capacity test, M3"
NFR-014,Input validation,100% of user-supplied input shall be validated server-side; rejected input shall return a field-level message without discarding the data already entered.,"CN-05, SH-01",Must,"For each input field, a boundary and an invalid-type case are submitted with client-side validation bypassed; every case is rejected server-side with a field-level message and the retained form values are redisplayed.","Automated boundary and negative test, M3"
