ID,Date,Decision area,Context,Constraints,Alternatives,Decision,Rationale,Trade-offs,Risk,Evidence / evidence required,Downstream consequence,Status
DEC-001,2026-09-08,Repository and governance model,"The team needs one controlled engineering environment from the start of M1, and the Master Project Brief section 9 mandates protected main, pull requests and two approvals.","CN-08, CN-02","A) Single repository with protected main and two required approvals. B) Single repository, trunk-based with direct commits and post-hoc review. C) Separate documentation and code repositories.","A - single controlled repository, protected main, pull request required, two approvals from members other than the author, no self-approval, linear history.","It is the mandated control, it produces the review evidence the milestone assesses, and one repository keeps documentation and future code under a single traceable history.","With three members, two approvals means unanimous consent from the other two; this is slower and creates a deadlock exposure.",RSK-04,"Repository settings, branch protection rule, merged pull requests with two approvals","Every substantive artefact change from M1 onwards must pass through review, which is the evidence base for the individual defence.",Decided
DEC-002,2026-09-08,PED authoring format,"Three members must edit one controlled document concurrently under time pressure, and the review model requires that changes be reviewable.","CN-08, CN-02","A) Single shared .docx edited in a cloud office suite. B) Modular Markdown in the repository, compiled to a controlled document at baseline. C) One .docx per member, merged manually at the end.",B - the PED is authored as numbered Markdown sections in docs/PED/ and compiled to PED_v1.0.docx for submission and sign-off.,"Markdown produces line-level diffs, so a reviewer can see exactly what changed and approve a specific change. A binary .docx cannot be merged or meaningfully reviewed, and option C guarantees an integration crisis at the deadline.","An extra compile-and-format step is needed before each baseline, and the submitted document must be regenerated rather than edited directly.",RSK-14,"docs/PED/ section files, pull request diffs on individual sections","The compiled document is an output, never the source of truth. Any correction made directly in the .docx is lost at the next compile.",Decided
DEC-003,2026-09-08,Identifier scheme for controlled artefacts,Traceability across four milestones requires identifiers that remain stable as artefacts evolve.,"CN-01, CN-04",A) Sequential numbering per artefact type with a fixed prefix. B) Hierarchical identifiers encoding the parent requirement. C) Descriptive slugs.,"A - FR-nnn, NFR-nnn, AC-nnn, SH-nn, CF-nn, CN-nn, RSK-nn, DEC-nnn, FEC-nn, AS-nn, CHG-nnn, TST-nnn, DEF-nnn. Identifiers are never reused and never renumbered.","Stable flat identifiers survive reprioritisation and deletion. Hierarchical identifiers break as soon as a requirement is split or moved, which is exactly what happens between M1 and M2.","Identifiers carry no meaning, so a reader must consult the register rather than infer relationships from the number.",Low,"RTM, registers, commit messages and pull request titles referencing identifiers","Every later artefact - design, issue, test, defect, release note - attaches to these identifiers. Renumbering after baseline would break the RTM.",Decided
DEC-004,2026-09-08,AI accountability control,"All three members use AI assistants, and the Master Project Brief section 10 makes AI output non-authoritative and non-transferable in accountability.","CN-08, CN-05","A) Register material AI use with recorded verification, plus a declaration in the pull request. B) Register AI use only where code is generated. C) Prohibit AI use on controlled artefacts.","A - the AI Usage Register records material contributions with the verification actually performed, and the pull request template requires an AI declaration that the reviewer checks.","The assessed risk is unverified content entering the baseline, which applies at least as much to requirements and risk text as to code. Prohibition would be unenforceable and would waste a permitted engineering aid.","The register is only as good as the honesty of the entries, and maintaining it costs time on every substantive contribution.",RSK-07,"AI Usage Register, pull request AI declaration field","Any member may be asked to explain any AI-assisted artefact, including one they did not author.",Decided
DEC-005,2026-09-08,Register storage format,Registers must be live artefacts that are reviewable in pull requests and presentable at the defence.,"CN-08, CN-04","A) CSV in the repository as the source of truth, with a compiled workbook for presentation. B) Workbook only. C) Tables embedded in the PED only.","A - registers are held as CSV under docs/, and a compiled .xlsx is generated for presentation and submission.","CSV changes appear as reviewable diffs, so a risk being downgraded or a requirement being edited is visible to reviewers. A workbook is opaque in review, and tables embedded only in the PED cannot be maintained between baselines.","Two representations must be kept in step, and the workbook must be regenerated rather than edited.",RSK-14,"docs/*/**.csv, generated registers workbook","The RTM and Risk Register remain diff-reviewable through M2 to M4, which is where most of their value lies.",Decided
DEC-006,2026-09-08,Authenticated submission only in version 1,Requesters reporting security concerns want anonymity; management requires attributable accountability (CF-01).,"CN-05, CN-01",A) Authenticated submission only. B) Anonymous submission permitted. C) Authenticated submission with an anonymity flag that hides identity from staff.,A - all submissions are authenticated in v1. Identity is protected by restricted visibility (NFR-012) rather than by absence of identity. A confidential channel is deferred (SCOPE-D-04).,"Accountability and audit are the core business need in the CivicConnect scenario, and an anonymous request cannot be clarified, updated or fed back on, which breaks FR-009 and FR-010. Option C requires a second authorisation model that the M1 scope cannot support.",The reprisal concern raised by SH-01 is not fully resolved and remains open on the deferred register.,RSK-11,"CF-01, FR-002, NFR-012, SCOPE-D-04","If a confidential channel is later accepted, the audit model and the notification model must both be revisited.",Decided
DEC-007,2026-09-08,File and photograph attachments,"Attachments would materially improve fault reporting, but introduce storage cost, malware exposure and a retention obligation.","CN-03, CN-05",A) Include attachments in v1. B) Defer pending platform and evidence. C) Exclude permanently.,DEFERRED - decision to be taken at M2 once the platform decision establishes actual free-tier storage limits.,"Committing now would bind the M2 platform choice to a storage requirement whose cost is unknown, which inverts the correct decision order.","Fault reports remain text-only in the interim, which SH-02 may find limiting.","RSK-08, RSK-02",Evidence still required: free-tier object-storage limits of candidate platforms; frequency with which a photograph is genuinely needed; malware-scanning options at zero cost; retention rules for images containing personal data.,"Affects persistence design, upload validation, security testing and operational cost from M2 onwards.",Deferred
DEC-008,2026-09-08,"Technology stack, architecture and deployment platform",These are the most consequential technical decisions in the project and are explicitly outside the M1 boundary.,"CN-03, CN-06, CN-07, CN-04",Deliberately not evaluated in M1.,"DEFERRED to M2, to be taken through a weighted decision matrix and an Architecture Decision Record supported by a measured proof of concept.","The evidence required to choose well does not exist yet. Baselined requirements and NFRs are inputs to the decision, not outputs of it. Choosing a stack in M1 would be a preference exercise rather than an engineering decision, and the Master Project Brief makes technology selection an assessed decision.","The team cannot begin construction, which compresses M2. Accepted deliberately.","RSK-02, RSK-03, RSK-12","Evidence still required: verified availability and compatibility on the Belgium Campus desktop platform; free-tier limits and cold-start behaviour of candidate hosts; an honest team capability audit; a small proof of concept exercising authentication, persistence and deployment.","Determines architecture, persistence, CI, deployment, operational cost and the achievability of NFR-001, NFR-002, NFR-010 and NFR-013.",Deferred
DEC-009,2026-09-08,Requirement prioritisation method,Scope must be reducible under schedule pressure without renegotiating every requirement.,"CN-01, CN-02",A) MoSCoW. B) Numeric 1-5 priority. C) Ordered backlog only.,"A - MoSCoW, with Must reserved for requirements without which the minimum business capabilities in Master Project Brief section 3 are not met.",MoSCoW makes the contingency in RSK-12 executable: under pressure the team drops Could and Should items in a defined order rather than negotiating individually. A numeric scale invites everything to be rated 5.,"MoSCoW carries no ordering within a band, so sequencing still requires the backlog.",Low,"Requirements registers, RTM priority column",The Must set defines the minimum releasable product and the M3 scope-freeze contingency.,Decided
DEC-010,2026-09-08,Team Working Agreement and review service level,The two-approval rule creates a deadlock exposure with three members (RSK-04).,"CN-08, CN-02",A) 24-hour review turnaround with a fixed daily review window and small single-purpose pull requests. B) Review on demand. C) Batched weekly review.,A - documented in docs/governance/team-working-agreement.md and agreed by all three members.,"A fixed turnaround makes review latency predictable, and small pull requests make review cheap enough to actually perform properly. Batched review would concentrate risk immediately before the milestone.",Requires daily engagement from all three members regardless of whose workstream is active.,"RSK-04, RSK-09","Team Working Agreement, pull request timestamps showing review latency",Sets the collaboration cadence for all four milestones and is the first evidence of team accountability.,Decided
