ID,Title,Requirement,Source,Priority,Acceptance criteria,Verification method
FR-001,User account provisioning,An Administrator shall create user accounts and assign exactly one role to each account; self-registered accounts shall default to the Requester role.,SH-05,Must,"Given an Administrator on the user administration screen, when a valid email and role are submitted, then an active account exists with that role and no other role, and the creation is written to the audit trail.",Functional test + audit record inspection
FR-002,Authentication,The system shall authenticate a user by email address and password before granting access to any function other than sign-in and password reset.,"SH-05, SH-09",Must,"Given an unauthenticated visitor, when any application URL other than sign-in or password reset is requested, then access is refused and the visitor is redirected to sign-in with no request data disclosed.",Automated negative-access test
FR-003,Role-based access control,"The system shall enforce four roles - Requester, Staff, Manager, Administrator - and permit each role only the operations authorised for it.","SH-04, SH-09",Must,"Given an authenticated user in role R, when an operation not authorised for R is attempted, then the operation is refused with an authorisation error and no state change occurs.",Automated role x operation matrix test (NFR-004)
FR-004,Password reset,"The system shall allow a user to reset a forgotten password through a single-use, time-limited link sent to the registered email address.",SH-01,Should,"Given a registered user requesting a reset, when the emailed link is used within its validity period, then a new password may be set; when the same link is reused or used after expiry, then it is refused.","Functional test, positive and negative"
FR-005,Submit a service request,"A Requester shall submit a service request capturing title, description, category and location as mandatory information.",SH-01,Must,"Given an authenticated Requester with all four mandatory fields completed, when the request is submitted, then a request is stored with a unique reference, status New, the submitter recorded and a submission timestamp; and the reference is displayed to the Requester.",Functional test + database inspection
FR-006,Controlled category selection,"The system shall require the Requester to select a category from a controlled list maintained by an Administrator, and shall reject free-text categories.",SH-04,Must,"Given the submission form, when no category is selected, then submission is refused with a field-level message; and the category selector offers only values from the active controlled list.",Functional test + boundary test
FR-007,View status of own request,A Requester shall view the current status of any request they submitted.,SH-01,Must,"Given a Requester with at least one submitted request, when the request is opened, then the current status, the date of the last status change and any resolution note are displayed.",Functional test
FR-008,View own request history,"A Requester shall view a list of all requests they have previously submitted, most recent first.",SH-01,Must,"Given a Requester with n submitted requests, when the request list is opened, then exactly those n requests are listed with reference, category, submission date and status, and no request belonging to another user appears.",Functional test + negative-access test
FR-009,Notify requester of state change,"The system shall notify the Requester in-app and by email when their request is accepted, rejected, updated with a comment, or completed.",SH-01,Must,"Given a request owned by Requester X, when its status changes to Accepted, Rejected or Resolved, then an in-app notification and an email are generated to X within 5 minutes, containing the reference, the new status and any reason.",Functional test + notification log
FR-010,Comment thread on a request,An authenticated Requester and authorised Staff shall exchange comments attached to a request record; personal contact details shall not be exposed.,"SH-01, SH-02",Should,"Given a request with an assigned staff member, when either party adds a comment, then the comment is stored against the request with author and timestamp and is visible to both, and no email address or telephone number of the other party is displayed.",Functional test + privacy review (NFR-012)
FR-011,Staff work queue,"A Staff user shall view the service requests they are authorised to see, including unassigned requests and requests assigned to them.",SH-02,Must,"Given a Staff user, when the queue is opened, then unassigned requests and requests assigned to that user are listed, and requests assigned to another staff member are not shown by default.",Functional test
FR-012,"Search, filter and sort","A Staff or Manager user shall search by reference or keyword and filter and sort the request list by category, status, assignee, priority and submission date.",SH-02,Must,"Given a list of requests, when a filter or sort is applied, then only matching requests are returned in the requested order, and combining two filters returns the intersection.",Functional test + performance test (NFR-001)
FR-013,View full request detail,An authorised user shall view the complete detail of a request including its full status and assignment history.,SH-02,Must,"Given an authorised user opening a request, when the detail view is displayed, then submitted information, current status, assignee, all comments and the complete ordered change history are shown.",Functional test
FR-014,"Assign, self-assign and reassign","A Manager shall assign a request to a Staff user, a Staff user shall accept an unassigned request, and a Manager shall reassign an assigned request.",SH-03,Must,"Given an unassigned request, when a Staff user accepts it, then that user becomes the assignee and the assignment is written to the audit trail; and when a Manager reassigns it, the previous and new assignee are both recorded.",Functional test + audit record inspection
FR-015,Controlled status transitions,"The system shall permit only defined status transitions across New, Accepted, In Progress, On Hold, Resolved, Closed and Rejected, and shall refuse any undefined transition.",SH-04,Must,"Given a request in status Closed, when any transition other than the defined reopen path is attempted, then it is refused and the status is unchanged; and every permitted transition is recorded with actor and timestamp.",State-transition test covering the full permitted and forbidden matrix
FR-016,Record action and resolution information,An assigned Staff user shall record actions taken and shall record resolution information when moving a request to Resolved.,SH-02,Must,"Given a request being moved to Resolved, when no resolution note is supplied, then the transition is refused; when a note is supplied, the note is stored against the request with author and timestamp.","Functional test, positive and negative"
FR-017,Resolve and close a request,"An assigned Staff user shall move a request to Resolved, and a Manager shall move a Resolved request to Closed.","SH-02, SH-04",Must,"Given a Resolved request, when a Manager closes it, then the status becomes Closed with actor and timestamp recorded; and a Staff user attempting to close it directly is refused.",Functional test + authorisation test
FR-018,Reject or return a request,"A Staff or Manager user shall reject or return a request to the Requester, and the system shall require a reason.",SH-02,Should,"Given a request being rejected, when no reason is supplied, then the rejection is refused; when a reason is supplied, the request status becomes Rejected, the reason is stored and the Requester is notified (FR-009).","Functional test, positive and negative"
FR-019,Management activity dashboard,"A Manager shall view counts of open, in progress, overdue, resolved and closed requests for a selected period.",SH-04,Must,"Given a known data set for a period, when the dashboard is opened for that period, then each displayed count equals the count obtained directly from the stored records for that period.",Functional test against a seeded data set
FR-020,Activity breakdown,"A Manager shall view request activity broken down by category, status, assignee and time period.",SH-04,Must,"Given a seeded data set, when a breakdown by category is requested, then every active category is represented and the sum of the category counts equals the total request count for the period.",Functional test with reconciliation check
FR-021,Overdue identification,The system shall identify a request as overdue when its elapsed open time exceeds the configured target resolution time for its category.,SH-04,Must,"Given a category with a configured target of T hours and a request open for more than T hours in a non-terminal status, when the dashboard or queue is viewed, then that request is flagged overdue; and a request open for less than T hours is not flagged.","Boundary test at T-1, T and T+1. NOTE: target values are not yet agreed - see RSK-05 and SCOPE-D-02."
FR-022,Export service activity,A Manager shall export the filtered request list to CSV for offline analysis and record keeping.,SH-04,Should,"Given a filtered request list of n rows, when export is selected, then a CSV file is produced containing exactly n data rows with a header row and the same field values as displayed.",Functional test + row-count reconciliation
