ID,Risk,Cause,Probability,Impact,Score,Priority,Mitigation,Contingency,Owner,Status,Linked artefacts
RSK-01,"A formal client/lecturer change request arrives after the M1 baseline is approved and is absorbed informally, destroying baseline integrity","Milestone 3 explicitly mandates a lecturer change request and impact analysis, so this event is planned rather than merely possible",5,4,20,Critical,"Change control procedure, template and CHG- identifier scheme established now, in M1, before the change arrives. Schedule contingency reserved in the M3 plan. Impact-analysis checklist covers requirements, design, data, security, test, schedule and risk.","If the change cannot be absorbed, negotiate scope exchange against the deferred register (SCOPE-D-xx) rather than extend the schedule, and record the trade-off as a decision.",Emile,Open,"CN-01, DEC-003"
RSK-02,"Free-tier hosting behaviour (idle shutdown, cold start, capacity ceilings) prevents the performance and availability NFRs from being met","Cost constraint CN-03 permits only free-tier services, which are not engineered for continuous availability",4,4,16,High,"NFR-001 is specified against a warm instance and cold start is declared as a limitation rather than hidden. Free-tier characteristics are an explicit input to the M2 platform decision, with a measured spike required before commitment.",Accept and publish degraded cold-start behaviour as a known limitation; or trade the constraint upward with the sponsor if a small paid tier becomes acceptable.,Don,Open,"CN-03, NFR-001, NFR-002, DEC-008, FEC-01"
RSK-03,"The selected technology stack proves unavailable, unsupported or incompatible on the Belgium Campus desktop platform after work has begun",The Master Project Brief section 25 explicitly withdraws any guarantee of platform support,3,5,15,High,"Technology decision deliberately deferred to M2 (DEC-008). Availability and compatibility must be verified on the actual institutional build environment, by more than one member, before the stack is committed.",Fall back to a stack already proven on the institutional environment and record the rework cost as a decision consequence.,Don,Open,"CN-07, DEC-008, FEC-01"
RSK-04,"The two-approval rule deadlocks the team: with three members, every substantive merge requires both other members, so a single absence halts all controlled work","Master Project Brief section 9 requires two approvals from members other than the author, and the team has exactly three members",4,3,12,High,"Team Working Agreement fixes a 24-hour review turnaround, a daily review window, and small single-purpose pull requests so review is cheap. Work is partitioned so that no member is blocked on their own critical path by a single reviewer.","Planned absence is announced at least 24 hours ahead and outstanding pull requests are reviewed before departure. Unplanned absence beyond 48 hours is escalated to the lecturer with evidence, rather than resolved by weakening the control.",Don,Open,"CN-08, DEC-001, DEC-010"
RSK-05,"Target resolution times per category are not agreed, so FR-021 (overdue identification) has no validated threshold and its acceptance criteria cannot be finalised",No live client stakeholder is available to authorise service-level targets,4,3,12,High,"FR-021 is specified against a configurable per-category target (FR-023) rather than a hard-coded value, so the requirement remains testable at boundary values even while the values themselves are provisional. Automated escalation is deferred (SCOPE-D-02).","Adopt provisional targets agreed with the lecturer as proxy client, record them as an assumption, and revisit at the M2 gate.",Masego,Open,"FR-021, SCOPE-D-02, AS-02"
RSK-06,"A credential, connection string or API key is committed to the repository and remains recoverable in history","Multiple contributors, AI-assisted code generation that frequently embeds sample credentials, and configuration files added under time pressure",3,5,15,High,Secret scanning enforced on every pull request from M1. .gitignore covers environment and configuration files before any code exists. Configuration supplied through environment variables only. NFR-005 makes the control testable.,"Immediately revoke and rotate the exposed credential, then purge history. Treat the exposure as a realised risk with a decision record, not a silent fix.",Don,Open,"CN-05, NFR-005, FEC-04"
RSK-07,Unverified AI-generated content enters the controlled baseline and cannot be defended by the student who submitted it,All three members use AI assistants; AI output is fluent and therefore easy to accept without verification,4,4,16,High,"AI Usage Register is mandatory for material contributions and records the verification actually performed. Pull request template requires the author to declare AI assistance. Reviewers check the register entry, not only the code. Every member must be able to explain any artefact they merged.","Any artefact that its author cannot explain at review is reverted from the baseline and reworked, regardless of correctness.",Emile,Open,"CN-08, NFR-005, DEC-004"
RSK-08,"Stakeholder expectations that were deferred or excluded (SMS escalation, attachments, anonymity) resurface late as assumed scope",Deferred items are easily remembered as promised rather than as deferred,3,3,9,Medium,"Deferred scope is held on a visible register with the reason and the evidence still required, rather than deleted. Every deferral names the milestone at which it is revisited.",Route any resurfaced item through the change request process so its cost is made explicit before it is accepted.,Masego,Open,"SCOPE-D-01..06, CF-03, CN-01"
RSK-09,Contribution becomes uneven and one or more members cannot defend the shared artefacts individually,Workstream specialisation combined with time pressure encourages members to work only on their own section,4,4,16,High,"Every member authors at least one pull request, reviews at least two, and owns issues in their own name. Cross-workstream review is compulsory, so each member reads the other two workstreams. A defence rehearsal is held before the milestone with questions directed across workstream boundaries.",Reallocate work at the mid-point checkpoint and record the reallocation in the project history.,Masego,Open,"CN-02, DEC-010"
RSK-10,Requirements prove unstable because no real CivicConnect stakeholder exists to validate them,"Stakeholders are represented by the team acting as proxy, informed only by the scenario description",3,3,9,Medium,"Every requirement records its source. Where a source is a team assumption rather than a stated stakeholder need, it is recorded on the assumption register and flagged for validation. Requirements are written to be testable independently of the proxy's opinion.",Validate the highest-value assumptions with the lecturer as proxy client at the M2 gate and process any resulting corrections as change requests.,Don,Open,"AS-01, RSK-05, CN-01"
