Trace ID,Source,Stakeholder need,Requirement,Priority,Acceptance criteria,Verification method,Design ref (M2),Issue/PR (M3),Test ID (M3),Release evidence (M4),Status
TR-001,SH-01 / Master Brief 2.0 - 'Requesters have limited visibility of whether a request was received',Requester must know a request was received and where it stands,FR-005,Must,AC-005,Functional test + DB inspection,Pending M2,Pending M3,Pending M3,Pending M4,Baselined
TR-002,SH-01 / Master Brief 2.0,Requester must know a request was received and where it stands,FR-007,Must,AC-007,Functional test,Pending M2,Pending M3,Pending M3,Pending M4,Baselined
TR-003,SH-01 / Master Brief 2.0,Requester must know a request was received and where it stands,FR-008,Must,AC-008,Functional + negative-access test,Pending M2,Pending M3,Pending M3,Pending M4,Baselined
TR-004,SH-01 / Master Brief 3.0 requester capabilities,"Requester must receive meaningful feedback on acceptance, rejection, update and completion",FR-009,Must,AC-009,Functional test + notification log,Pending M2,Pending M3,Pending M3,Pending M4,Baselined
TR-005,"SH-04 / Master Brief 2.0 - 'Reporting is manual, inconsistent and difficult to audit'",Management must identify outstanding and overdue work reliably,FR-019,Must,AC-019,Functional test on seeded data,Pending M2,Pending M3,Pending M3,Pending M4,Baselined
TR-006,SH-04 / Master Brief 2.0,Management must identify outstanding and overdue work reliably,FR-021,Must,AC-021,"Boundary test at T-1, T, T+1",Pending M2,Pending M3,Pending M3,Pending M4,Baselined - threshold values provisional (RSK-05)
TR-007,SH-04 / Master Brief 2.0 - 'weak accountability for changes to request status',Every status and assignment change must be attributable,FR-025,Must,AC-025,Functional + negative test,Pending M2,Pending M3,Pending M3,Pending M4,Baselined
TR-008,"SH-04, SH-09 / CN-05",Every status and assignment change must be attributable,NFR-006,Must,AC-N006,Functional + negative test,Pending M2,Pending M3,Pending M3,Pending M4,Baselined
TR-009,SH-02 / Master Brief 2.0 - 'Staff have difficulty prioritising requests and identifying ownership',Staff must see one prioritised queue with clear ownership,FR-011,Must,AC-011,Functional test,Pending M2,Pending M3,Pending M3,Pending M4,Baselined
TR-010,SH-02 / Master Brief 3.0 staff capabilities,Staff must locate relevant requests quickly,FR-012,Must,AC-012,Functional + performance test,Pending M2,Pending M3,Pending M3,Pending M4,Baselined
